dateIDd,Weekday,Holiday,Duration,Volume
20190518,0,0,872.1194907898544,20738
20190519,0,0,851.1812662107993,16964
20190520,1,1,861.5736393025597,18869
20190521,1,0,748.7578482874553,23795
20190522,1,0,819.4432215939688,29712
20190523,1,0,742.8179738562092,18360
20190524,1,0,780.6425189749756,26614
20190525,0,0,845.6340896410638,21508
20190526,0,0,1027.599095427174,38029
20190527,1,0,796.7729416570728,26927
20190528,1,0,703.846041607832,21246
20190529,1,0,770.7307404370611,28051
20190530,1,0,785.703279885917,28751
20190531,1,0,801.2805812945803,30002
20190601,0,0,882.3023203926818,26892
20190602,0,0,765.2843728100911,14270
20190603,1,0,728.5373102597899,23519
20190604,1,0,754.7710494850928,25927
20190605,1,0,741.7483160284321,26871
20190606,1,0,828.4383124487645,34156
20190607,1,0,842.1593384659253,35070
20190608,0,0,949.9161170404125,33356
20190609,0,0,938.5113866738749,29596
20190610,1,0,818.6522259609162,30908
20190611,1,0,730.7759263763885,24666
20190612,1,0,824.7657228464419,33375
20190613,1,0,749.2064290237271,26847
20190614,1,0,707.5458755559631,21809
20190615,0,0,741.6216401066958,14621
20190616,0,0,905.6815192434915,25697
20190617,1,0,824.9734605872281,31538
20190618,1,0,826.0395963193826,33690
20190619,1,0,821.5579678553783,34407
20190620,1,0,712.2632749219122,18889
20190621,1,0,815.2328178694158,32592
20190622,0,0,947.0767646102136,27669
20190623,0,0,943.101323789733,25986
20190624,1,1,968.1308655675333,25232
20190625,1,0,729.7847501435956,20892
20190626,1,0,809.030923566879,31400
20190627,1,0,819.5549551120021,34419
20190628,1,0,816.6962704177009,32631
20190629,0,0,900.8661998565824,23707
20190630,0,0,950.8191320231371,29563
20190701,1,1,976.8182903282429,28485
20190702,1,0,841.2107162687396,36020
20190703,1,0,833.5629958829784,36677
20190704,1,0,826.4117500208039,36051
20190705,1,0,838.1939928441403,31862
20190706,0,0,934.5295673156381,30253
20190707,0,0,931.9877627212389,28928
20190708,1,0,821.0610684679152,32570
20190709,1,0,813.044560417503,34874
20190710,1,0,819.8201323772753,36260
20190711,1,0,724.556067508801,19316
20190712,1,0,796.020038687058,33086
20190713,0,0,902.6838137152339,27721
20190714,0,0,886.8208090175074,25018
20190715,1,0,813.4640186034819,31822
20190716,1,0,805.1294349136076,32526
20190717,1,0,807.4265501933266,34915
20190718,1,0,821.678766631701,36226
20190719,1,0,794.218469107768,31707
20190720,0,0,867.9437887728855,26436
20190721,0,0,858.88948841738,24649
20190722,1,0,801.3549931600547,30702
20190723,1,0,798.8363159797542,33192
20190724,1,0,822.2907663740716,35544
20190725,1,0,807.0111493232749,36056
